001, 2016, 05, 19, T, 066.9, 073.8, 069.9, 065.2, 056.3, 048.8
002, 2016, 05, 19, T, 068.4, 075.0, 070.5, 067.2, 060.1, 052.5
003, 2016, 05, 19, T, 061.0, 069.9, 064.1, 058.3, 052.3, 048.3
004, 2016, 05, 19, T, 065.1, 073.0, 067.6, 064.2, 053.8, 046.3
005, 2016, 05, 19, T, 062.1, 069.0, 065.1, 059.3, 044.8, 038.2
006, 2016, 05, 19, T, 070.1, 077.0, 073.5, 067.3, 059.2, 051.6
008, 2016, 05, 19, T, 067.4, 074.2, 070.4, 065.8, 057.3, 049.1
010, 2016, 05, 19, T, 065.6, 073.4, 068.6, 061.1, 047.7, 044.2
011, 2016, 05, 19, T, 067.5, 073.8, 070.5, 066.7, 052.0, 040.5
012, 2016, 05, 19, T, 065.2, 073.7, 066.0, 061.9, 054.4, 048.2
013, 2016, 05, 19, T, 056.5, 064.4, 059.9, 053.7, 042.7, 039.3
014, 2016, 05, 19, T, 064.9, 072.6, 067.5, 062.9, 053.5, 047.0
016, 2016, 05, 19, T, 061.1, 067.5, 063.8, 059.1, 041.1, 036.2
017, 2016, 05, 19, T, 058.9, 067.9, 061.7, 054.6, 043.6, 041.1
018, 2016, 05, 19, T, 059.9, 070.5, 062.5, 054.9, 051.2, 050.1
019, 2016, 05, 19, T, 060.7, 069.4, 063.3, 057.0, 044.5, 037.4
020, 2016, 05, 19, T, 061.5, 071.7, 064.0, 058.5, 045.6, 038.7
024, 2016, 05, 19, T, 046.0, 054.3, 048.9, 043.6, 038.5, 035.6
025, 2016, 05, 19, T, 064.9, 069.6, 067.2, 064.7, 054.6, 043.8
026, 2016, 05, 19, T, 061.9, 070.1, 066.3, 057.4, 046.7, 038.2
027, 2016, 05, 19, T, 060.8, 071.3, 065.1, 054.3, 041.7, 033.4
028, 2016, 05, 19, T, 067.1, 075.5, 070.4, 061.7, 040.5, 035.7
029, 2016, 05, 19, T, 055.2, 064.0, 059.2, 051.5, 036.0, 034.2
030, 2016, 05, 19, T, 059.2, 066.4, 062.7, 057.4, 041.4, 036.2
031, 2016, 05, 19, T, 061.5, 071.6, 066.5, 053.6, 045.0, 041.7
047, 2016, 05, 19, T, 056.4, 067.4, 057.4, 051.4, 040.4, 037.8
048, 2016, 05, 19, T, 061.5, 067.9, 064.4, 060.4, 052.6, 045.6
050, 2016, 05, 19, T, 065.4, 072.0, 067.3, 063.5, 055.1, 047.2
054, 2016, 05, 19, T, 059.0, 066.1, 062.5, 057.5, 040.8, 036.5
055, 2016, 05, 19, T, 054.5, 062.8, 057.7, 051.1, 041.6, 037.2
086, 2016, 05, 19, T, 057.8, 067.5, 061.8, 053.1, 038.9, 036.7
001, 2016, 05, 19, D, 067.7, 074.7, 070.1, 066.3, 062.2, 060.0
002, 2016, 05, 19, D, 069.6, 076.3, 071.0, 068.1, 065.2, 062.9
003, 2016, 05, 19, D, 062.0, 070.4, 065.4, 059.2, 055.0, 051.1
004, 2016, 05, 19, D, 066.8, 074.4, 068.4, 065.7, 063.0, 060.1
